,title,key,key_confidence,mode,mode_confidence,segments_pitches
0,b'Kindhearted Woman Blues',2.0,0.491,1.0,0.569,"[[1.    1.    1.    ... 1.    1.    1.   ]
 [0.009 0.007 0.015 ... 0.011 0.019 0.032]
 [0.005 0.006 0.009 ... 0.022 0.004 0.006]
 ...
 [0.113 0.547 0.054 ... 0.023 0.058 0.181]
 [0.01  0.398 0.017 ... 0.005 0.004 0.034]
 [0.049 0.925 0.055 ... 0.02  0.092 0.086]]"
1,b'Watchie Watchie',11.0,0.47100000000000003,0.0,0.46799999999999997,"[[0.061 0.042 0.039 ... 0.201 0.076 0.049]
 [0.224 0.134 0.092 ... 0.123 0.096 0.139]
 [0.256 0.191 0.128 ... 0.185 0.139 0.212]
 ...
 [0.496 1.    0.684 ... 0.339 0.265 0.153]
 [0.2   1.    0.981 ... 0.298 0.18  0.097]
 [0.245 0.287 0.243 ... 1.    0.396 0.287]]"
2,b'Dying To Stay',1.0,0.835,1.0,0.47700000000000004,"[[0.079 0.039 0.037 ... 0.726 1.    0.17 ]
 [0.062 0.014 0.028 ... 0.319 0.423 0.047]
 [0.126 0.042 0.063 ... 0.326 0.338 0.208]
 ...
 [0.074 0.067 0.105 ... 0.099 0.115 0.054]
 [0.063 0.054 0.066 ... 0.071 0.138 0.092]
 [0.023 0.022 0.026 ... 0.041 0.061 0.043]]"
3,"b'Beneath The Valley Of The Underdog (Album Version + Hidden Track ""Talkin\' Randy Tate\'s..."")'",0.0,0.434,1.0,0.5870000000000001,"[[0.242 0.217 0.164 ... 0.667 0.248 0.175]
 [0.989 0.914 0.331 ... 0.849 1.    0.191]
 [0.349 0.307 0.14  ... 1.    0.374 0.136]
 ...
 [0.034 0.038 0.431 ... 0.051 0.01  0.132]
 [0.313 0.117 0.26  ... 0.306 0.074 0.116]
 [0.004 0.005 0.177 ... 0.009 0.009 0.062]]"
4,b'Take Five - Live',11.0,0.652,0.0,0.253,"[[1.    0.981 0.648 ... 0.635 0.601 0.403]
 [0.396 1.    0.328 ... 0.502 0.44  0.274]
 [0.092 0.127 0.39  ... 0.163 0.224 0.222]
 ...
 [0.174 0.19  0.277 ... 0.342 0.273 0.181]
 [0.481 0.439 0.646 ... 0.463 0.351 0.375]
 [0.36  0.378 0.376 ... 0.398 0.373 0.39 ]]"
5,b'Gun Shot',0.0,0.43200000000000005,1.0,0.414,"[[0.601 0.984 0.64  ... 0.76  0.856 0.517]
 [0.385 0.307 0.247 ... 0.093 0.033 0.256]
 [0.788 0.651 0.336 ... 0.42  0.838 0.255]
 ...
 [1.    0.32  0.365 ... 0.299 0.218 0.187]
 [0.269 0.658 0.678 ... 0.133 0.193 0.363]
 [0.467 0.423 0.484 ... 1.    0.651 0.484]]"
6,b'Sam und Bo_ N.E.O.',11.0,0.05,0.0,0.195,"[[0.157 0.05  1.    ... 0.111 0.026 0.6  ]
 [0.8   0.631 0.497 ... 0.399 0.421 1.   ]
 [0.775 1.    0.864 ... 0.335 0.336 0.797]
 ...
 [0.426 1.    0.188 ... 0.411 0.19  0.071]
 [0.512 1.    0.775 ... 0.122 0.124 0.186]
 [1.    0.608 0.365 ... 0.276 0.431 0.984]]"
7,b'Carta De Amor',0.0,0.0,1.0,0.0,"[[1.    0.952 0.284 0.298 0.289 0.286 0.242 0.19  0.148 0.119 0.114 0.313]
 [0.318 0.074 0.055 0.063 0.035 0.046 0.178 0.151 0.173 0.32  0.09  1.   ]
 [0.056 0.046 1.    0.592 0.027 0.023 0.051 0.137 0.12  0.091 0.063 0.126]
 [0.019 0.014 0.215 0.124 0.009 0.014 0.053 1.    0.264 0.046 0.035 0.044]
 [0.367 0.206 1.    0.598 0.109 0.097 0.198 0.953 0.841 0.197 0.237 0.536]]"
8,b'Heaven Can Wait',11.0,0.47600000000000003,1.0,0.475,"[[0.273 0.227 0.269 ... 0.427 0.883 1.   ]
 [0.006 0.006 0.006 ... 0.077 0.118 0.022]
 [0.004 0.005 0.016 ... 0.053 0.084 0.014]
 ...
 [0.284 0.29  0.113 ... 0.144 0.442 1.   ]
 [0.075 0.254 0.048 ... 0.048 0.257 0.694]
 [0.176 0.329 0.144 ... 0.51  0.496 0.683]]"
9,b'Noises',0.0,0.006999999999999999,1.0,0.171,"[[0.806 0.684 0.649 0.699 0.82  0.84  1.    0.99  0.866 0.862 0.638 0.385]
 [0.006 0.002 0.003 0.003 0.002 0.003 0.016 0.247 1.    0.027 0.002 0.003]
 [0.823 0.982 0.788 0.805 0.754 0.727 0.771 0.549 0.885 1.    0.584 0.472]
 [0.003 0.008 0.058 0.225 1.    0.111 0.009 0.007 0.007 0.002 0.007 0.011]
 [1.    0.396 0.192 0.141 0.068 0.074 0.086 0.052 0.092 0.176 0.314 0.957]
 [0.039 0.055 0.109 0.027 0.015 0.021 0.153 1.    0.397 0.086 0.039 0.027]
 [0.017 0.012 0.008 0.188 1.    0.211 0.032 0.009 0.008 0.004 0.003 0.005]
 [0.016 0.238 1.    0.559 0.057 0.006 0.007 0.007 0.006 0.015 0.009 0.007]
 [0.59  1.    0.978 0.802 0.443 0.424 0.613 0.509 0.581 0.49  0.545 0.481]
 [0.032 0.018 0.009 0.007 0.011 0.063 0.411 1.    0.402 0.084 0.043 0.022]
 [0.561 0.639 0.851 1.    0.7   0.286 0.08  0.083 0.096 0.155 0.314 0.528]
 [0.02  0.022 0.025 0.016 0.048 0.032 0.047 0.082 0.17  1.    0.256 0.035]
 [0.773 1.    0.985 0.199 0.132 0.127 0.146 0.29  0.277 0.37  0.5   0.787]
 [0.18  0.146 0.114 0.064 0.051 0.081 0.076 0.11  0.077 0.322 1.    0.946]
 [0.015 0.008 0.008 0.008 0.003 0.005 0.012 0.122 1.    0.053 0.01  0.007]
 [0.109 0.022 0.026 0.031 0.057 0.211 0.759 1.    0.194 0.044 0.016 0.048]
 [0.022 0.046 0.035 0.566 1.    0.066 0.011 0.023 0.016 0.041 0.048 0.043]
 [0.631 0.802 0.712 0.31  0.387 0.575 0.569 0.83  0.46  0.617 0.986 1.   ]
 [0.797 0.486 0.91  0.416 0.289 0.305 0.152 0.161 0.136 0.416 0.828 1.   ]
 [0.47  0.187 0.148 0.168 0.208 0.26  0.141 0.358 1.    0.77  0.308 0.298]
 [0.787 0.846 0.729 0.552 0.79  1.    0.831 0.716 0.838 0.947 0.913 0.764]
 [0.079 0.094 0.118 0.105 0.261 0.312 0.601 1.    0.605 0.348 0.124 0.074]
 [0.379 1.    0.857 0.29  0.106 0.059 0.041 0.055 0.102 0.053 0.046 0.142]
 [0.006 0.006 0.01  0.208 1.    0.073 0.02  0.005 0.008 0.003 0.004 0.041]
 [0.399 0.588 0.698 0.554 0.453 0.334 0.386 0.929 1.    0.555 0.592 0.488]
 [0.397 0.356 0.498 0.5   0.383 0.331 0.72  1.    0.799 0.76  0.464 0.281]
 [0.256 0.27  0.183 0.306 0.7   0.348 0.249 0.298 0.411 1.    0.546 0.282]
 [0.434 0.291 0.195 0.344 1.    0.467 0.262 0.226 0.357 0.546 0.436 0.4  ]
 [0.241 1.    0.661 0.058 0.03  0.026 0.019 0.014 0.016 0.03  0.022 0.075]
 [0.853 0.234 0.119 0.08  0.074 0.056 0.048 0.035 0.066 0.156 0.622 1.   ]
 [1.    0.138 0.047 0.028 0.025 0.013 0.024 0.037 0.054 0.092 0.188 0.648]
 [0.925 0.055 0.037 0.033 0.033 0.05  0.087 0.124 0.198 0.314 0.334 1.   ]
 [0.074 0.045 0.032 0.03  0.026 0.049 0.13  0.305 0.438 1.    0.823 0.167]
 [0.082 0.056 0.049 0.045 0.042 0.025 0.044 0.15  1.    0.953 0.101 0.065]
 [0.327 0.402 0.673 0.823 0.598 0.885 1.    0.96  0.556 0.494 0.327 0.247]
 [0.199 0.268 0.298 0.376 0.557 0.833 1.    0.365 0.172 0.29  0.372 0.283]
 [1.    0.978 0.929 0.558 0.345 0.451 0.382 0.438 0.477 0.529 0.295 0.548]
 [0.097 0.074 0.142 0.208 0.113 0.159 0.33  1.    0.531 0.126 0.101 0.145]
 [0.371 1.    0.731 0.761 0.572 0.563 0.195 0.194 0.039 0.042 0.361 0.376]
 [1.    0.695 0.191 0.053 0.041 0.055 0.044 0.047 0.068 0.093 0.201 0.646]
 [0.922 1.    0.676 0.58  0.837 0.876 0.869 0.78  0.74  0.79  0.883 0.832]
 [0.148 0.149 0.227 1.    0.335 0.115 0.117 0.128 0.117 0.103 0.109 0.148]
 [0.961 1.    0.984 0.797 0.452 0.686 0.53  0.328 0.567 0.645 0.567 0.914]
 [1.    0.901 0.627 0.545 0.658 0.581 0.378 0.307 0.334 0.421 0.525 0.353]
 [0.813 0.593 0.65  0.806 1.    0.771 0.605 0.412 0.318 0.446 0.472 0.611]
 [0.859 0.818 0.644 1.    0.674 0.454 0.412 0.387 0.41  0.382 0.479 0.567]
 [0.664 0.932 0.69  0.647 0.482 0.479 0.393 0.534 1.    0.753 0.68  0.561]
 [0.903 0.803 0.786 0.877 0.758 0.647 0.751 0.77  1.    0.582 0.474 0.61 ]
 [0.722 0.866 1.    0.739 0.596 0.596 0.768 0.898 0.956 0.545 0.463 0.509]
 [0.767 1.    0.704 0.593 0.434 0.424 0.48  0.63  0.626 0.652 0.537 0.522]
 [0.824 0.989 0.877 1.    0.805 0.632 0.761 0.516 0.703 0.624 0.661 0.716]
 [0.862 0.913 1.    0.808 0.65  0.555 0.618 0.601 0.655 0.553 0.734 0.668]
 [0.26  0.319 0.404 0.369 0.337 0.254 0.442 0.378 0.544 1.    0.296 0.182]
 [0.679 0.923 0.897 1.    0.786 0.957 0.899 0.6   0.754 0.755 0.703 0.73 ]
 [0.018 0.114 0.438 1.    0.648 0.074 0.103 0.034 0.019 0.028 0.049 0.04 ]
 [1.    0.171 0.089 0.08  0.077 0.173 0.13  0.165 0.115 0.102 0.305 0.878]
 [0.2   0.083 0.102 0.453 0.075 0.121 0.141 0.227 1.    0.161 0.09  0.061]
 [0.223 0.076 0.036 0.036 0.068 1.    0.332 0.046 0.03  0.078 0.029 0.019]
 [0.873 0.586 0.631 0.189 0.121 0.225 0.26  0.351 0.142 0.244 0.633 1.   ]
 [0.296 0.332 0.277 0.44  0.77  0.451 0.278 0.389 0.684 1.    0.641 0.192]
 [0.757 1.    0.984 0.479 0.517 0.446 0.346 0.37  0.369 0.367 0.378 0.314]
 [0.885 1.    0.439 0.367 0.258 0.251 0.22  0.179 0.154 0.112 0.115 0.527]
 [0.681 0.64  0.645 0.83  0.734 0.641 0.855 0.802 1.    0.957 0.776 0.952]]"
